square_feet,bedrooms,bathrooms,age,price
2000,3,2,10,450000
1500,2,1,5,350000
2500,4,3,15,500000
1200,2,1,3,320000
3000,4,3,20,580000
1800,3,2,8,420000
2200,3,2.5,12,470000
1400,2,1.5,4,340000
2800,4,3,18,550000
1600,3,2,6,380000
2400,4,2.5,14,510000
1300,2,1,2,300000
2900,4,3.5,22,600000
1700,3,2,7,390000
2100,3,2,11,460000
1400,2,1,5,330000
2600,4,3,16,540000
1550,3,1.5,4,360000
2700,4,3,19,570000
1450,2,1.5,3,345000
2300,3,2.5,13,490000
1900,3,2,9,440000
2050,3,2.5,10,455000
1350,2,1,2,315000
2750,4,3,17,560000
